timestamp,pir_level,gas_level_ppm,sound_level_dB,temperature_C,occupancy_count,scenario,speaker_on,vacate_condition
2026-04-07T10:38:14.738491,39,373,48,29.7,137,warning,on,prepare
2026-04-07T10:38:19.738491,14,245,32,17.3,32,normal,off,stay
2026-04-07T10:38:24.738491,12,212,34,22.0,13,normal,off,stay
2026-04-07T10:38:29.738491,37,343,39,19.8,52,normal,off,stay
2026-04-07T10:38:34.738491,35,355,39,21.8,60,normal,off,stay
2026-04-07T10:38:39.738491,21,292,29,23.8,34,normal,off,stay
2026-04-07T10:38:44.738491,57,460,58,28.6,133,warning,on,prepare
2026-04-07T10:38:49.738491,84,677,95,61.1,260,alert,on,evacuate
2026-04-07T10:38:54.738491,12,305,40,19.0,14,normal,off,stay
2026-04-07T10:38:59.738491,84,616,92,41.0,309,alert,on,evacuate
2026-04-07T10:39:04.738491,59,396,68,27.4,99,warning,on,prepare
2026-04-07T10:39:09.738491,50,369,50,25.9,103,warning,on,prepare
2026-04-07T10:39:14.738491,86,525,79,46.1,239,alert,on,evacuate
2026-04-07T10:39:19.738491,22,371,46,21.7,36,normal,off,stay
2026-04-07T10:39:24.738491,42,334,39,19.9,38,normal,off,stay
2026-04-07T10:39:29.738491,43,490,69,34.2,121,warning,on,prepare
2026-04-07T10:39:34.738491,23,320,33,18.3,17,normal,off,stay
2026-04-07T10:39:39.738491,88,499,75,31.2,238,alert,on,evacuate
2026-04-07T10:39:44.738491,17,329,30,25.1,27,normal,off,stay
2026-04-07T10:39:49.738491,30,258,28,22.8,18,normal,off,stay
2026-04-07T10:39:54.738491,13,318,29,24.5,12,normal,off,stay
2026-04-07T10:39:59.738491,87,575,92,59.7,330,alert,on,evacuate
2026-04-07T10:40:04.738491,25,174,37,21.8,56,normal,off,stay
2026-04-07T10:40:09.738491,31,238,40,23.8,16,normal,off,stay
2026-04-07T10:40:14.738491,27,368,31,23.7,21,normal,off,stay
2026-04-07T10:40:19.738491,49,474,52,26.9,97,warning,on,prepare
2026-04-07T10:40:24.738491,98,567,100,46.8,274,alert,on,evacuate
2026-04-07T10:40:29.738491,62,314,56,26.5,88,warning,on,prepare
2026-04-07T10:40:34.738491,69,372,62,29.3,139,warning,on,prepare
2026-04-07T10:40:39.738491,31,320,37,20.6,59,normal,off,stay
2026-04-07T10:40:44.738491,58,683,72,57.3,238,alert,on,evacuate
2026-04-07T10:40:49.738491,71,529,82,58.9,149,alert,on,evacuate
2026-04-07T10:40:54.738491,42,279,40,26.8,35,normal,off,stay
2026-04-07T10:40:59.738491,13,183,35,20.2,49,normal,off,stay
